56,Dehydroepiandrosterone,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C)C1CCC2=O
57,Cysteinylglycine,N[C@@H](CS)C(=O)NCC(O)=O
58,Dihydrothymine,CC1CNC(=O)NC1=O
59,Cytidine triphosphate,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
60,Deoxyguanosine,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1
61,Glycerophosphocholine,C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](O)CO
62,Dimethylamine,CNC
63,Cytidine,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
64,Dimethylglycine,CN(C)CC(O)=O
65,Citric acid,OC(=O)CC(O)(CC(O)=O)C(O)=O
66,Cytidine monophosphate,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
67,Choline,C[N+](C)(C)CCO
68,D-Xylose,O[C@@H]1COC(O)[C@H](O)[C@H]1O
69,L-Cystathionine,N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O
70,Deoxyadenosine,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1
73,Galactitol,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
74,Ethanol,CCO
76,gamma-Aminobutyric acid,NCCCC(O)=O
77,Glycerylphosphorylethanolamine,OCCN(CC(O)CO)P(O)(O)=O
78,Glycolic acid,OCC(O)=O
80,Homovanillic acid,COC1=CC(CC(O)=O)=CC=C1O
81,Glyoxylic acid,OC(=O)C=O
82,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
83,D-Glucose,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
84,Glycine,NCC(O)=O
85,Fructose 6-phosphate,OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
86,Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
87,Glycerol 3-phosphate,OC[C@@H](O)COP(O)(O)=O
88,D-Glucuronic acid,O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O
89,Guanidoacetic acid,NC(=N)NCC(O)=O
90,Homogentisic acid,OC(=O)CC1=C(O)C=CC(O)=C1
91,Glycerol,OCC(O)CO
92,Guanine,NC1=NC(=O)C2=C(N1)N=CN2
93,Guanosine,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1
94,Fumaric acid,OC(=O)\C=C\C(O)=O
95,Glycocholic acid,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)CC2C[C@H](O)CC[C@]12C
96,Glyceric acid,OC[C@@H](O)C(O)=O
97,Glucosylceramide,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1O[C@H](CO)C(O)[C@H](O)[C@H]1O)[C@H](O)\C=C\CCCCCCCCCCCCC
98,Formic acid,OC=O
99,D-Galactose,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
100,Estrone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
101,L-Glutamic acid,N[C@@H](CCC(O)=O)C(O)=O
102,Ethanolamine,NCCO
103,Gluconolactone,OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O
104,Estradiol,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
105,Gentisic acid,OC(=O)C1=C(O)C=CC(O)=C1
106,Estriol,[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
107,L-Malic acid,O[C@@H](CC(O)=O)C(O)=O
108,Hypoxanthine,OC1=NC=NC2=C1NC=N2
109,L-Tyrosine,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
110,L-Phenylalanine,N[C@@H](CC1=CC=CC=C1)C(O)=O
112,L-Alanine,C[C@H](N)C(O)=O
113,L-Proline,OC(=O)[C@@H]1CCCN1
114,D-Maltose,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
115,Methylamine,CN
117,L-Threonine,C[C@@H](O)[C@H](N)C(O)=O
118,L-Asparagine,N[C@@H](CC(N)=O)C(O)=O
119,D-Mannose,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
121,L-Isoleucine,CC[C@H](C)[C@H](N)C(O)=O
123,L-Fucose,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O
124,Inosinic acid,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O
126,L-Histidine,N[C@@H](CC1=CN=CN1)C(O)=O
127,L-Dopa,N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O
128,L-Lysine,NCCCC[C@H](N)C(O)=O
130,Alpha-Lactose,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
131,L-Serine,N[C@@H](CO)C(O)=O
132,Inosine triphosphate,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O
133,L-Lactic acid,C[C@H](O)C(O)=O
134,L-Aspartic acid,N[C@@H](CC(O)=O)C(O)=O
135,L-Cystine,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
136,Isocitric acid,OC(C(CC(O)=O)C(O)=O)C(O)=O
137,Anserine,CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O
138,Inosine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1NC=NC2=O
139,Indoleacetic acid,OC(=O)CC1=CNC2=C1C=CC=C2
141,L-Acetylcarnitine,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
142,Methylmalonic acid,CC(C(O)=O)C(O)=O
143,Phenylpyruvic acid,OC(=O)C(=O)CC1=CC=CC=C1
144,N6-Acetyl-L-lysine,CC(=O)NCCCC[C@H](N)C(O)=O
145,Oleic acid,CCCCCCCC\C=C/CCCCCCCC(O)=O
146,Oxoglutaric acid,OC(=O)CCC(=O)C(O)=O
147,Phenylacetic acid,OC(=O)CC1=CC=CC=C1
148,Pantothenic acid,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O
149,myo-Inositol,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O
150,N-Acetylgalactosamine,CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O
151,Myo-inositol 1-phosphate,O[C@H]1[C@H](O)[C@H](O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1O
152,Ornithine,NCCC[C@H](N)C(O)=O
153,N-Acetyl-D-glucosamine,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
154,Norepinephrine,NC[C@H](O)C1=CC(O)=C(O)C=C1
155,NADP,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
156,Orotidylic acid,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O
157,Palmitic acid,CCCCCCCCCCCCCCCC(O)=O
158,NADPH,NC(=O)C1=CN(C=CC1)[C@H]1O[C@@H](COP(O)(=O)OP(O)(=O)OC[C@@H]2O[C@@H]([C@@H](OP(O)(O)=O)[C@H]2O)N2C=NC3=C(N)N=CN=C23)[C@H](O)[C@@H]1O
159,L-Palmitoylcarnitine,CCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
160,Oxalacetic acid,OC(=O)CC(=O)C(O)=O
161,O-Phosphoethanolamine,NCCOP(O)(O)=O
162,Oxoadipic acid,OC(=O)CCCC(=O)C(O)=O
163,Orotic acid,OC(=O)C1=CC(=O)NC(=O)N1
164,Mevalonic acid,CC(O)(CCO)CC(O)=O
165,Phenol,OC1=CC=CC=C1
166,Nicotinamide ribotide,NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O
